fee_valid_from,regis_id,fund_name_th,fund_abbr_name,fund_class_id,comp_thai_name_rep,dividend_policy,fee_TT,fee_OF,fee_SP,fee_FR,fee_IA,fee_UW,fee_EO,fee_FF,fee_BF,fee_SI,fee_SO,fee_TF,unit_TF,fee_CF,fee_OT,fee_TT_actual,fee_OF_actual,fee_SP_actual,fee_FR_actual,fee_IA_actual,fee_UW_actual,fee_EO_actual,fee_FF_actual,fee_BF_actual,fee_SI_actual,fee_SO_actual,fee_TF_actual,unit_actual_TF,fee_CF_actual,fee_OT_actual,url
31/12/2020,MF0796/2557,กองทุนเปิดเค โกลบอล เฮลท์แคร์ หุ้นทุน,K-GHEALTH,-,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,จ่าย,4.0125,3.21,0.2675,0.321,ไม่มี,ไม่มี,1.07,3,3,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,0.75,1.2124,1.07,0.0321,0.0803,,,0.03,1.5,0,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/K-GHEALTH
29/1/2021,MF0691/2557,กองทุนเปิดทหารไทย China Opportunity,TMBCOF,-,บริษัทหลักทรัพย์จัดการกองทุน ทหารไทย จำกัด,ไม่จ่าย,1.9495,1.605,0.107,0.214,ไม่มี,ไม่มี,0.0535,1.5,ไม่มี,1.5,ดูที่คำอธิบายเพิ่มเติม,5,บาทต่อหน่วยลงทุน 1000.00 หน่วย,50,0.25,1.7881,1.605,0.0321,0.151,,,0,1.5,ไม่มี,1.5,ไม่มี,,,,ปัจจุบันไม่เรียกเก็บ,http://market.sec.or.th/public/idisc/th/Download/fund/TMBCOF
15/2/2021,MF0762/2557,กองทุนเปิดกรุงศรียุโรปอิควิตี้เฮดจ์,KF-HEUROPE,-,บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด,ไม่จ่าย,4.6545,2.14,0.107,0.1605,ไม่มี,ไม่มี,2.247,2,2,2,2,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,,1,0.8025,0.0321,0.1605,ไม่มี,ไม่มี,0.0049,1.5,ยังไม่เรียกเก็บ,1.5,ยังไม่เรียกเก็บ,10,บาทต่อหน่วยลงทุน 1000 หน่วยหรือเศษของ 1000 หน่วย,50,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/KF-HEUROPE
1/2/2021,MF0074/2558,กองทุนเปิดแอสเซทพลัสยุโรปควอลิตี้,ASP-EUROPE QUALITY,-,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ไม่จ่าย,5.35,2.14,0.1605,1.07,ไม่มี,ไม่มี,1.9795,2.14,2.14,2.14,2.14,ตามที่นายทะเบียนเรียกเก็บ,,50,ตามที่จ่ายจริง,2.7671,1.605,0.0321,1.07,ไม่มี,ไม่มี,0.06,1.5,ยกเว้น ไม่เรียกเก็บ,1.5,ยกเว้น ไม่เรียกเก็บ,50.00 บาท ต่อรายการ,,ยกเว้น ไม่เรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/ASP-EUROPE QUALITY
20/1/2021,MF0355/2558,กองทุนเปิด วรรณ STOXX อาเซียน ซีเล็ค ดิวิเดนด์ อินเด็กซ์ ฟันด์,ONE-STOXXASEAN,-,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,จ่าย,10,2.5,0.15,1,1,ไม่มี,2,2,2,,,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,,1.99,0.5,0.15,0.1,,,1.24,1.25,0,1.25,0,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/ONE-STOXXASEAN
31/12/2020,MF0805/2557,กองทุนเปิดเคแทม เวิลด์ อิควิตี้ เพื่อการเลี้ยงชีพ,KT-WEQ RMF,-,บริษัทหลักทรัพย์จัดการกองทุน กรุงไทย จำกัด (มหาชน),ไม่จ่าย,5.35,2.14,0.0749,0.214,ไม่มี,ไม่มี,2.675,3,1,3,มีแบบหลายเงื่อนไข ไม่เกินร้อยละ 1.00 หรือ 200 บาทต่อรายการ,ไม่มี,,ตามที่นายทะเบียนเรียกเก็บ,,1.798,1.284,0.03,0.214,ไม่มี,ไม่มี,0.27,ยังไม่เรียกเก็บ,ยังไม่เรียกเก็บ,ยังไม่เรียกเก็บ,ยังไม่เรียกเก็บ เว้นแต่สับเปลี่ยนออกไปบลจ.อื่น เรียกเก็บ 200 บาทต่อรายการ,ไม่มี,,ตามที่นายทะเบียนกำหนด,,http://market.sec.or.th/public/idisc/th/Download/fund/KT-WEQ RMF
15/2/2021,MF0827/2557,กองทุนเปิดกรุงศรีโกลบอลอินคัม,KF-INCOME,-,บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด,ไม่จ่าย,4.6545,2.14,0.107,0.1605,ไม่มี,ไม่มี,2.247,2,2,2,2,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,ตามที่จ่ายจริง,0.8647,0.6688,0.0321,0.1605,ไม่มี,ไม่มี,0.0033,1.5,ยังไม่เรียกเก็บ,1.5,ยังไม่เรียกเก็บ,10,บาทต่อหน่วยลงทุน 1000 หน่วยหรือเศษของ 1000 หน่วย,50,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/KF-INCOME
31/12/2020,MF0029/2558,กองทุนเปิดไทยพาณิชย์หุ้นทุน Mid/Small Cap,SCBMSEFUND,SCBMSE,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,ไม่จ่าย,3.745,3.1,0.107,0.11,ไม่มี,ไม่มี,3.21,1.07,1.07,1.07,1.07,10,บาทต่อหน่วยลงทุน 1000.00 หน่วย,ตามที่นายทะเบียนเรียกเก็บ,,1.64,1.54,0.02,0.07,,,0.01,1.07,,1.07,,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/SCBMSEFUND
31/12/2020,MF0029/2558,กองทุนเปิดไทยพาณิชย์หุ้นทุน Mid/Small Cap,SCBMSEFUND,SCBMSED,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,จ่าย,3.745,3.1,0.107,0.11,ไม่มี,ไม่มี,3.21,1.07,1.07,1.07,1.07,10,บาทต่อหน่วยลงทุน 1000.00 หน่วย,ตามที่นายทะเบียนเรียกเก็บ,,,,,,,,,,,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/SCBMSEFUND
31/12/2020,MF0029/2558,กองทุนเปิดไทยพาณิชย์หุ้นทุน Mid/Small Cap,SCBMSEFUND,SCBMSEP,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,ไม่จ่าย,3.21,2.565,0.107,0.11,ไม่มี,ไม่มี,3.21,1.07,1.07,1.07,1.07,10,บาทต่อหน่วยลงทุน 1000.00 หน่วย,ตามที่นายทะเบียนเรียกเก็บ,,0.1,0,0.02,0.07,,,0.01,,,,,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/SCBMSEFUND
31/12/2020,MF0029/2558,กองทุนเปิดไทยพาณิชย์หุ้นทุน Mid/Small Cap,SCBMSEFUND,SCBMSER,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,ไม่จ่าย,3.745,3.1,0.107,0.11,ไม่มี,ไม่มี,3.21,1.07,1.07,1.07,1.07,10,บาทต่อหน่วยลงทุน 1000.00 หน่วย,ตามที่นายทะเบียนเรียกเก็บ,,,,,,,,,,,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/SCBMSEFUND
15/2/2021,MF0814/2557,กองทุนเปิดกรุงศรีโกลบอลเฮลธ์แคร์อิควิตี้เพื่อการเลี้ยงชีพ,KFHCARERMF,-,บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด,ไม่จ่าย,4.6545,2.14,0.107,0.1605,ไม่มี,ไม่มี,2.247,2,2,2,2,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,ตามที่จ่ายจริง,1.0018,0.8025,0.0321,0.1605,ไม่มี,ไม่มี,0.0067,ไม่เรียกเก็บ,ไม่เรียกเก็บ,ไม่เรียกเก็บ,ไม่เรียกเก็บ,-,-,50,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/KFHCARERMF
31/12/2020,MF0336/2558,กองทุนเปิดเอ็มเอฟซี เฟล็กซิเบิล อินเวสเมนท์,M-FLEX,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),จ่าย,5.671,2.14,0.0749,0.107,ไม่มี,ไม่มี,3.3491,1,1,2,ดูที่คำอธิบายเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,,1.96,1.59,0.04,0.107,0,0,0.23,0.25,ไม่มี,ไม่มี,ไม่มี,50 บาท/รายการ,,ตามที่นายทะเบียนเรียกเก็บ,,http://market.sec.or.th/public/idisc/th/Download/fund/M-FLEX
